衡量行业,颜色,市场,ETF代码,ETF名称,分类依据
科技,#2563EB,SH,517770,游戏传媒,名称关键词
科技,#2563EB,SH,517800,AI50,名称关键词
科技,#2563EB,SH,520650,互联网HK,名称关键词
科技,#2563EB,SH,520790,港互联网,名称关键词
科技,#2563EB,SH,560360,软件指数,名称关键词
科技,#2563EB,SH,560630,机器人WJ,名称关键词
科技,#2563EB,SH,560770,机器人ZS,名称关键词
科技,#2563EB,SH,560790,软件服务,名称关键词
科技,#2563EB,SH,560850,信创50,名称关键词
科技,#2563EB,SH,561010,软件开发,名称关键词
科技,#2563EB,SH,561100,电子龙头,名称关键词
科技,#2563EB,SH,561460,AITH,名称关键词
科技,#2563EB,SH,561600,消费电子,名称关键词
科技,#2563EB,SH,561980,芯片设备,名称关键词
科技,#2563EB,SH,562030,信创基金,名称关键词
科技,#2563EB,SH,562360,机器人YH,名称关键词
科技,#2563EB,SH,562500,机器人,名称关键词
科技,#2563EB,SH,562570,信创ETF,名称关键词
科技,#2563EB,SH,562930,软件30,名称关键词
科技,#2563EB,SH,588200,科创芯片,名称关键词
科技,#2563EB,SH,588290,芯片科创,名称关键词
科技,#2563EB,SH,588410,双创AI,名称关键词
科技,#2563EB,SH,588420,AI双创,名称关键词
科技,#2563EB,SH,588430,科创创AI,名称关键词
科技,#2563EB,SH,588480,AI50双创,名称关键词
科技,#2563EB,SH,588530,AIBOCI,名称关键词
科技,#2563EB,SH,588710,科半导体,名称关键词
科技,#2563EB,SH,588730,科创AI,名称关键词
科技,#2563EB,SH,588760,AI科创,名称关键词
科技,#2563EB,SH,588780,芯片设计,名称关键词
科技,#2563EB,SH,588920,KC芯片,名称关键词
科技,#2563EB,SH,588930,科创板AI,名称关键词
科技,#2563EB,SH,588990,科芯片,名称关键词
科技,#2563EB,SH,589010,科创AI指,名称关键词
科技,#2563EB,SH,589020,KC半导体,名称关键词
科技,#2563EB,SH,589090,KCAI,名称关键词
科技,#2563EB,SH,589100,国泰芯片,名称关键词
科技,#2563EB,SH,589110,科AI国泰,名称关键词
科技,#2563EB,SH,589160,科芯片GF,名称关键词
科技,#2563EB,SH,589230,AI科创CS,名称关键词
科技,#2563EB,SH,589290,芯片主题,名称关键词
科技,#2563EB,SH,589350,科芯片指,名称关键词
科技,#2563EB,SH,589380,AI科创指,名称关键词
科技,#2563EB,SH,589410,科创AIJS,名称关键词
科技,#2563EB,SH,589430,N科芯片,名称关键词
科技,#2563EB,SH,589520,AI科创板,名称关键词
科技,#2563EB,SH,589560,科创AITF,名称关键词
科技,#2563EB,SZ,158012,云计算ETF南方,名称关键词
科技,#2563EB,SZ,158027,工业互联网ETF易方达,名称关键词
科技,#2563EB,SZ,159013,工业互联网ETF大成,名称关键词
科技,#2563EB,SZ,159035,软件ETF天弘,名称关键词
科技,#2563EB,SZ,159036,软件开发ETF华宝,名称关键词
科技,#2563EB,SZ,159039,机器人ETF华安,名称关键词
科技,#2563EB,SZ,159048,机器人ETF大成,名称关键词
科技,#2563EB,SZ,159050,机器人ETF广发,名称关键词
科技,#2563EB,SZ,159068,软件ETF华夏,名称关键词
科技,#2563EB,SZ,159075,工业互联网ETF华夏,名称关键词
科技,#2563EB,SZ,159095,云计算ETF银华,名称关键词
科技,#2563EB,SZ,159099,云计算ETF华宝,名称关键词
科技,#2563EB,SZ,159108,工业软件ETF博时,名称关键词
