market,code,name,industry,plot_industry,classification_rule
SZ,159840,锂电池ETF工银,,新能源,名称关键词
SZ,159637,新能源车ETF东财,,新能源,名称关键词
SZ,159170,港股通互联网ETF永赢,,港股/海外,固定类别/排除词
SZ,159292,创业板综增强ETF华宝,,宽基/综合指数,宽基关键词/人工映射
SZ,159738,云计算ETF华泰柏瑞,,科技,名称关键词
SZ,159561,德国ETF嘉实,,港股/海外,固定类别/排除词
SZ,159291,创业板综增强ETF招商,,宽基/综合指数,宽基关键词/人工映射
SZ,159171,工业有色ETF博时,,资源周期,名称关键词
SZ,159736,食品饮料ETF天弘,,消费,名称关键词
SZ,159290,创业板综指增强ETF东财,,宽基/综合指数,宽基关键词/人工映射
SZ,159172,养殖ETF汇添富,,消费,名称关键词
SZ,159399,现金流ETF国泰,,债券/货币,固定类别/排除词
SZ,159732,消费电子ETF华夏,,科技,名称关键词
SZ,159735,港股消费ETF银华,,港股/海外,固定类别/排除词
SZ,159175,电池ETF易方达,,新能源,名称关键词
SZ,159173,农牧ETF南方,,待人工确认,名称关键词
SZ,159562,黄金股ETF华夏,,商品,固定类别/排除词
SZ,159400,科创债ETF景顺,,债券/货币,固定类别/排除词
SZ,159563,创业板综ETF华夏,,宽基/综合指数,宽基关键词/人工映射
SZ,159167,港股通医疗ETF工银,,港股/海外,固定类别/排除词
SZ,159326,电网设备ETF华夏,,待人工确认,名称关键词
SH,510180,180ETF,,待人工确认,名称关键词
SZ,159638,航空航天ETF嘉实,,军工,名称关键词
SZ,159161,工程机械ETF东财,,高端制造,名称关键词
SZ,159505,国证2000ETF博时,,宽基/综合指数,宽基关键词/人工映射
SZ,159295,创业综指ETF西部利得,,待人工确认,名称关键词
SZ,159825,农业ETF富国,,农业,名称关键词
SZ,159162,工业有色ETF鹏华,,资源周期,名称关键词
SZ,159635,基建ETF华夏,,地产基建,名称关键词
SZ,159289,创业板综指ETF鹏华,,宽基/综合指数,宽基关键词/人工映射
SZ,159502,标普生物科技ETF嘉实,,港股/海外,固定类别/排除词
SZ,159805,传媒ETF鹏华,,科技,名称关键词
SZ,159163,有色ETF泰康,,资源周期,名称关键词
SZ,159613,信息安全ETF嘉实,,待人工确认,名称关键词
SZ,159397,信用债ETF广发,,债券/货币,固定类别/排除词
SZ,159743,湖北ETF博时,,待人工确认,名称关键词
SZ,159165,养殖ETF永赢,,消费,名称关键词
SZ,159293,创业板综增强ETF建信,,宽基/综合指数,宽基关键词/人工映射
